symbol,name,industry,index_memberships
20MICRONS,20 Microns Limited,,
21STCENMGM,21st Century Management Services Limited,,
360ONE,360 ONE WAM LIMITED,Financial Services,NIFTY500
3BBLACKBIO,3B Blackbio Dx Limited,,
3MINDIA,3M India Limited,Diversified,NIFTY500
3PLAND,3P Land Holdings Limited,,
5PAISA,5Paisa Capital Limited,,
63MOONS,63 moons technologies limited,,
A2ZINFRA,A2Z Infra Engineering Limited,,
AAATECH,AAA Technologies Limited,,
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,NIFTY500
AAKASH,Aakash Exploration Services Limited,,
AARNAV,Aarnav Fashions Limited,,
AARON,Aaron Industries Limited,,
AARTIDRUGS,Aarti Drugs Limited,,
AARTIIND,Aarti Industries Limited,Chemicals,NIFTY500
AARTIPHARM,Aarti Pharmalabs Limited,,
AARTISURF,Aarti Surfactants Limited,,
AARVI,Aarvi Encon Limited,,
AASTHA,Aastha Spintex Limited,,
AAVAS,Aavas Financiers Limited,Financial Services,NIFTY500
ABANSENT,Abans Enterprises Limited,,
ABB,ABB India Limited,Capital Goods,NIFTY500
ABBOTINDIA,Abbott India Limited,Healthcare,NIFTY500
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,NIFTY500
ABCOTS,A B Cotspin India Limited,,
ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,NIFTY500
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Services,NIFTY500
ABINFRA,A B Infrabuild Limited,,
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Services,NIFTY500
ABMINTLLTD,ABM International Limited,,
ABMKNO,ABM Knowledgeware Limited,,
ABREL,Aditya Birla Real Estate Limited,Realty,NIFTY500
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,NIFTY500
ACC,ACC Limited,Construction Materials,NIFTY500
ACCELYA,Accelya Solutions India Limited,,
ACE,Action Construction Equipment Limited,Capital Goods,NIFTY500
ACEINTEG,Ace Integrated Solutions Limited,,
ACI,Archean Chemical Industries Limited,,
ACL,Andhra Cements Limited,,
ACMESOLAR,Acme Solar Holdings Limited,Power,NIFTY500
ACSTECH,ACS Technologies Limited,,
ACUTAAS,Acutaas Chemicals Limited,Healthcare,NIFTY500
ADANIENSOL,Adani Energy Solutions Limited,Power,NIFTY500
ADANIENT,Adani Enterprises Limited,Metals & Mining,NIFTY50|NIFTY500
ADANIGREEN,Adani Green Energy Limited,Power,NIFTY500
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,NIFTY50|NIFTY500
ADANIPOWER,Adani Power Limited,Power,NIFTY500
ADFFOODS,ADF Foods Limited,,
ADL,Archidply Decor Limited,,
ADOR,Ador Welding Limited,,
